path,bytes,sha256,kind,modified,attribution_hint,is_os_noise
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.09.58.jpeg","89908","4345d54368d375fd072441db9908a9109a4268dc639e8efc1300dbb89f9d7c4e","image","2026-08-07T05:09:55.438Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.01.jpeg","192303","e9e785f8423a6617211840ea09cde684c8c632ebf51be4d84cfce17bf0a72868","image","2026-08-07T05:09:57.235Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.06.jpeg","152508","565e356208d03eda0d30b287bb1814a686a8353553b2bedeb9b3d48bba5e1218","image","2026-08-07T05:10:05.068Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.10.jpeg","136567","46c18b94eb0c84d5c400ed5ef35222b150a1abc13a975c7754d2b70157ce26df","image","2026-08-07T05:10:05.436Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.17.jpeg","156611","528d092ed62f6bb04163166d35e93e1f171bd75399aa666fdd5a90a4f7f813d1","image","2026-08-07T05:10:15.705Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.18.jpeg","453765","d8055fd6751bbb258d1d71a909ca49b0325f6561e77b8d831ca6593341f77181","image","2026-08-07T05:10:16.478Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.20.jpeg","383882","d358aec18fea908b08bcfdacca7560314da467de6fe332e30c3533de460c14be","image","2026-08-07T05:10:18.216Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.22.jpeg","296908","dbd4ca131d24e9a6590be3d1f4b4dd88a0633e996f08649a6f7995370c74eef0","image","2026-08-07T05:10:19.861Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.25.jpeg","162340","2f35b4ff94bdb6373cf7b88a9c490600985ab6965ddd7451ea1806fbc8c6bbad","image","2026-08-07T05:10:25.311Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.28.jpeg","109783","72857d488a1d9acc2be87c5a534c6259b1c0253a18c3a12c01435102249ee08c","image","2026-08-07T05:10:26.588Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.30.jpeg","182591","8756500348d3b4174ee597caf0b464899b641b017f59bad9e10a76a2f429b1b4","image","2026-08-07T05:10:26.762Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.10.33.jpeg","146395","2cef20c692305f8e8fa634d183ac30e56738cb00bd291d79c745644d4f6bbf71","image","2026-08-07T05:10:27.054Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.12.05.jpeg","222819","3a4c37f9368054e92b0ecfe8ae6e2e74110baed21b3a6ebfe07727e8d0095a1e","image","2026-08-07T05:12:05.199Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.12.10.jpeg","175021","aa739641881b161d78738c4441dc063401e44e55a5609e0eb3bb3f42bea55cf5","image","2026-08-07T05:12:08.941Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.12.16.jpeg","225910","5681ad16e679808aa36248e3bb96a57577365df77ea7062060ac664efc116c4b","image","2026-08-07T05:12:15.413Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.12.34.jpeg","225779","0dba9548fa13f26133f22341c450888dc163f4b72e786bf4320aae2a7251f5a5","image","2026-08-07T05:12:29.483Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Photos/photo_2026-08-07 08.12.39.jpeg","199602","62b8f760e13cc082eda80c8dabd4d6810b5c8389b16cee59961e1fa7b16d1e14","image","2026-08-07T05:12:38.981Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/.DS_Store","14340","55332bb93f1751430f3f1b9aa498a2f25a5a7bac5ebd3cba643b9e116329bb53","other","2020-08-06T10:40:26.000Z","","true"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/@DoctorWho00 - Marc Tavares.jpeg","1595346","248c635e62efbe1762a39fa2ada62527a16a278add707f23cb5ae918c99efb66","image","2020-08-03T04:58:36.000Z","Marc Tavares","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/@DoctorWho00- Marc Tavares.mp4","118483","fdf27dc25f8560506d2a4768739a575fb0ea3ab979666118ce262457da75d757","video","2020-08-03T04:56:54.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/10BFC685-8027-4D96-95DB-341476D039B9 - Tristin Hightower.jpeg","137315","337a366027a39038a80ad77bba9fb69d8666ffa165cded8ba296c15182b43493","image","2020-08-06T00:01:20.000Z","Tristin Hightower","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/2020-07-31-frame-229.png","5524442","2fc142d5451816db0767b11aa00ea3864c1847a733a7c1c0ff0ce487e78a3cbd","image","2020-07-31T18:20:52.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/2020-07-31-frame-503.png","4887650","58f4a5cebe6957803b3f2e4b5b8697172b0bd11ada2fc91c70bbcf16f70272f3","image","2020-07-31T21:33:56.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/2020-07-31-frame-507.png","4884369","7beb91551b080d980db9b50d55b79ebbf6cb81cbd41198d331fe4a62e566b723","image","2020-07-31T21:36:36.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/2020-07-31-frame-508.png","5655430","ff2fd325846ff66409d2b63d72903ca725cccc13caec600be528e2a052664d18","image","2020-07-31T21:37:16.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/2020-07-31-frame-509.png","4882245","f0bf608c47ea093f3370705eefaf538b9a776fbf0979ee8bd23350e1e6e6c9d6","image","2020-07-31T21:37:56.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/2020-08-01-frame-579.png","4736554","37fbc5797989181d82e77be8986f445644574d94c6c44233670f0059d29cf7e2","image","2020-08-01T06:27:36.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/20200731_194454 - Syrinx RHD.jpg","580339","79f371ae8afc72653656c5fe110adcee5336fd13571d9c9ac6938e5376abba90","image","2020-08-06T00:01:28.000Z","Syrinx RHD","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/20200731_195252 - Adam Heath.jpg","4972835","98b651d276d8787fe95a206d1db8026e4cbbec882a6eed1326ad01852f64b228","image","2020-08-03T04:39:59.000Z","Adam Heath","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/441D234B-10BB-4BF3-9347-EB00BA8BABE8 - Gregor Erbach.png","2100357","e4217c785602fa455595336600203fea9807442030c58f5f5aec48a1336478d1","image","2020-08-06T00:03:42.000Z","Gregor Erbach","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/67A348DF-5604-4F93-82AA-DC97A95A7E5E - Kiwiwoe Knz.png","8666616","f4685a52ca5bbf977a1d44a79633bc8c53286fc708bae415c4418ecd1a9a722b","image","2020-08-06T00:03:30.000Z","Kiwiwoe Knz","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/938A17E5-71F1-4428-A439-E648756AED7C - Olalla Infantes.png","1787932","e3484320e5baae05f9804fa7b1b0b8afa8be1a606cf698f6d469774e1d68dfce","image","2020-08-05T23:51:19.000Z","Olalla Infantes","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/9DD8F52E-5567-449B-A6F9-3D2EDB2B277D - Sheng Du.png","707293","79a54a3994b56d954f0abb2d7dcba0fa9d46b2798f93c6e69ae100a6adcce35f","image","2020-08-06T00:00:29.000Z","Sheng Du","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/AItJ- Abraham Tapia Pacheco.png","553240","9c6c2f9b633cc4eaf283f76974f98395dd6516d386b729e31aef4d3aceea00a3","image","2020-08-03T04:42:38.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/FF3424A4-596F-40C0-8D19-022793D38BB6 - Daniele C (1).jpeg","2563786","0921a16dc70e5ed6ee92e27156cdf17266d958a5fecb56f95742b875f24bf59e","image","2020-08-05T23:53:55.000Z","Daniele C","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/FF3424A4-596F-40C0-8D19-022793D38BB6 - Daniele C.jpeg","2563786","0921a16dc70e5ed6ee92e27156cdf17266d958a5fecb56f95742b875f24bf59e","image","2020-08-05T22:34:03.000Z","Daniele C","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/image_2020-07-31_20-56-47 - E. Yuji.png","1730997","527daf2dfe8ef0acb5646673a8c25b599773a9f16169eb4fb96d6dd6dc7c4075","image","2020-08-03T04:54:26.000Z","E. Yuji","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_20200731_195226 - Jeyakirushna Thavasuprabhatham.jpg","1285851","2bfd446d8607b40137fe9d9646dc6df4dbb9d73f8987ea62f760ff248ff7eacd","image","2020-08-05T23:57:35.000Z","Jeyakirushna Thavasuprabhatham","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_6863.JPG","170715","23d77560bf421cab41559c35fd058eb52e98b34e3abade4b3123ca90a792c42c","image","2020-08-06T10:39:45.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_6867.JPG","427699","e62d3d0b7c6abf1f22cc0360d92451187b7732df8aa75056e776cb92e6ee7b37","image","2020-08-06T10:39:45.000Z","","false"
"source-data/historical-campaigns/2020-07-the-big-bang/Stars/IMG_6911.HEIC.jpg","3108632","c70c96ef04c340c387f455ce2de1d36c03f775f492512eb506262616d7abce39","image","2020-08-06T10:39:46.000Z","","false"
