Agent Name,Faction,Country,,,,,,,,,,,,,,,Links created,Max in country
@meronpanda,Resistance,Japan,,,,,,,,,,,,,,,16,108
@dummytest,Resistance,Japan,,,,,,,,,,,,,,,10,108
@yantensh,Resistance,Japan,,,,,,,,,,,,,,,10,108
@SakuraaaN,Resistance,Japan,,,,,,,,,,,,,,,,108
@DoctorWho00,Resistance,Luxembourg,,,,,,,,,,,,,,,427,427
@RussellDev,Resistance,Mayotte,,,,,,,,,,,,,,,11,11
@aitj,Enlightened,Mexico,,,,,,,,,,,,,,,150,150
@Six3lMM,Resistance,Mexico,,,,,,,,,,,,,,,132,150
@ShengDu ,Resistance,Netherlands,,,,,,,,,,,,,,,50,50
@RizzaHawkeye12,Resistance,Peru,,,,,,,,,,,,,,,52,52
@myshadowPT,Resistance,Portugal,,,,,,,,,,,,,,,43,43
@Djfenyx ,Resistance,Portugal,,,,,,,,,,,,,,,11,43
@DwF,Resistance,Romania,,,,,,,,,,,,,,,,0
@SergeFernanDes,Resistance,Russia,,,,,,,,,,,,,,,333,333
@Neokondor,Enlightened,Russia,,,,,,,,,,,,,,,148,333
@kirvland,Resistance,Russia,,,,,,,,,,,,,,,100,333
@ValenPortonovo,Enlightened,Spain,,,,,,,,,,,,,,,204,204
@HaLfY,Resistance,Spain,,,,,,,,,,,,,,,122,204
@Eliazhaar,Enlightened,Spain,,,,,,,,,,,,,,,107,204
@ReinaMayla,Resistance,Spain,,,,,,,,,,,,,,,94,204
@ErreKrbo,Resistance,Spain,,,,,,,,,,,,,,,94,204
@bunbun1979,Enlightened,Spain,,,,,,,,,,,,,,,85,204
@BTT91,Enlightened,Spain,,,,,,,,,,,,,,,60,204
@lseee,Enlightened,Spain,,,,,,,,,,,,,,,16,204
@vastis ,Resistance,Sweden,,,,,,,,,,,,,,,48,48
@Brownphy,Enlightened,Thailand,,,,,,,,,,,,,,,24,24
@V1tharr,Resistance,Ukraine,,,,,,,,,,,,,,,41,41
@haslegs,Resistance,United Kingdom,,,,,,,,,,,,,,,82,82
@eigood,Resistance,United States,,,,,,,,,,,,,,,225,225
@EldrenCoralon,Enlightened,United States,,,,,,,,,,,,,,,206,225
@DigitalDeviance,Resistance,United States,,,,,,,,,,,,,,,154,225
@earthtraveler5 ,Resistance,United States,,,,,,,,,,,,,,,125,225
@TheGreenTardis,Enlightened,United States,,,,,,,,,,,,,,,82,225
@MalleusVos,Enlightened,United States,,,,,,,,,,,,,,,79,225
@NegansLucille,Enlightened,United States,,,,,,,,,,,,,,,79,225
@lIlIIIIIIlIIlII,Enlightened,United States,,,,,,,,,,,,,,,75,225
@jv090791,Resistance,United States,,,,,,,,,,,,,,,61,225
@Brit0martis,Enlightened,United States,,,,,,,,,,,,,,,47,225
@Azntiger791,Resistance,United States,,,,,,,,,,,,,,,46,225
@HokeyBugle,Resistance,United States,,,,,,,,,,,,,,,23,225
@tristeele,Enlightened,United States,,,,,,,,,,,,,,,,225
@PsicopataInfame,Resistance,,,,,,,,,,,,,,,,16,0
@mikusan,Enlightened,,,,,,,,,,,,,,,,10,0
@dakidali,Enlightened,Portugal,,,,,,,,,,,,,,,,
